module	version	evidence_path	actual_sha256	expected_sha256	license_type	detection_basis	exists	hash_match	graph_match	status
github.com/moby/docker-image-spec	v1.3.1	<GOMODCACHE>/github.com//moby//docker-image-spec@v1.3.1/LICENSE	c71d239df91726fc519c6eb72d318ec65820627232b2f796219e87dcf35d0ab4	c71d239df91726fc519c6eb72d318ec65820627232b2f796219e87dcf35d0ab4	Apache-2.0	Apache License	true	true	true	OK
github.com/moby/go-archive	v0.2.0	<GOMODCACHE>/github.com//moby//go-archive@v0.2.0/LICENSE	cfc7749b96f63bd31c3c42b5c471bf756814053e847c10f3eb003417bc523d30	cfc7749b96f63bd31c3c42b5c471bf756814053e847c10f3eb003417bc523d30	Apache-2.0	Apache License	true	true	true	OK
github.com/moby/patternmatcher	v0.6.0	<GOMODCACHE>/github.com//moby//patternmatcher@v0.6.0/LICENSE	7c87873291f289713ac5df48b1f2010eb6963752bbd6b530416ab99fc37914a8	7c87873291f289713ac5df48b1f2010eb6963752bbd6b530416ab99fc37914a8	Apache-2.0	Apache License	true	true	true	OK
github.com/moby/sys/sequential	v0.6.0	<GOMODCACHE>/github.com//moby//sys//sequential@v0.6.0/LICENSE	cfc7749b96f63bd31c3c42b5c471bf756814053e847c10f3eb003417bc523d30	cfc7749b96f63bd31c3c42b5c471bf756814053e847c10f3eb003417bc523d30	Apache-2.0	Apache License	true	true	true	OK
github.com/moby/sys/user	v0.4.0	<GOMODCACHE>/github.com//moby//sys//user@v0.4.0/LICENSE	cfc7749b96f63bd31c3c42b5c471bf756814053e847c10f3eb003417bc523d30	cfc7749b96f63bd31c3c42b5c471bf756814053e847c10f3eb003417bc523d30	Apache-2.0	Apache License	true	true	true	OK
github.com/moby/sys/userns	v0.1.0	<GOMODCACHE>/github.com//moby//sys//userns@v0.1.0/LICENSE	cfc7749b96f63bd31c3c42b5c471bf756814053e847c10f3eb003417bc523d30	cfc7749b96f63bd31c3c42b5c471bf756814053e847c10f3eb003417bc523d30	Apache-2.0	Apache License	true	true	true	OK
github.com/moby/term	v0.5.2	<GOMODCACHE>/github.com//moby//term@v0.5.2/LICENSE	7c87873291f289713ac5df48b1f2010eb6963752bbd6b530416ab99fc37914a8	7c87873291f289713ac5df48b1f2010eb6963752bbd6b530416ab99fc37914a8	Apache-2.0	Apache License	true	true	true	OK
github.com/morikuni/aec	v1.0.0	<GOMODCACHE>/github.com//morikuni//aec@v1.0.0/LICENSE	54c5e52725ae21a2a815b875b6000ce5a5c1c5e829b11fb05425235932bf8968	54c5e52725ae21a2a815b875b6000ce5a5c1c5e829b11fb05425235932bf8968	MIT	The MIT License (MIT)	true	true	true	OK
github.com/opencontainers/go-digest	v1.0.0	<GOMODCACHE>/github.com//opencontainers//go-digest@v1.0.0/LICENSE	aceb55133c41c50c2e170c5918e301fe74f592d0f28724bf2f7a7bfdcff1fc5f	aceb55133c41c50c2e170c5918e301fe74f592d0f28724bf2f7a7bfdcff1fc5f	Apache-2.0	Apache License	true	true	true	OK
github.com/opencontainers/image-spec	v1.1.1	<GOMODCACHE>/github.com//opencontainers//image-spec@v1.1.1/LICENSE	b0a3f39513927db306adabea11d14c23f079d4febcea241d123a68d1a0d45418	b0a3f39513927db306adabea11d14c23f079d4febcea241d123a68d1a0d45418	Apache-2.0	Apache License	true	true	true	OK
github.com/pkg/errors	v0.9.1	<GOMODCACHE>/github.com//pkg//errors@v0.9.1/LICENSE	8d427fd87bc9579ea368fde3d49f9ca22eac857f91a9dec7e3004bdfab7dee86	8d427fd87bc9579ea368fde3d49f9ca22eac857f91a9dec7e3004bdfab7dee86	BSD-2-Clause	Copyright (c) 2015, Dave Cheney <dave@cheney.net>	true	true	true	OK
github.com/pmezard/go-difflib	v1.0.0	<GOMODCACHE>/github.com//pmezard//go-difflib@v1.0.0/LICENSE	2eb550be6801c1ea434feba53bf6d12e7c71c90253e0a9de4a4f46cf88b56477	2eb550be6801c1ea434feba53bf6d12e7c71c90253e0a9de4a4f46cf88b56477	BSD-2-Clause	Full-file review: two redistribution clauses; no non-endorsement clause	true	true	true	OK
github.com/power-devops/perfstat	v0.0.0-20240221224432-82ca36839d55	<GOMODCACHE>/github.com//power-devops//perfstat@v0.0.0-20240221224432-82ca36839d55/LICENSE	d2568033889c7eb3666ef1cb1f47f84bd49d25847aaad5dd87f18df384238079	d2568033889c7eb3666ef1cb1f47f84bd49d25847aaad5dd87f18df384238079	MIT	MIT License	true	true	true	OK
github.com/shirou/gopsutil/v4	v4.26.2	<GOMODCACHE>/github.com//shirou//gopsutil//v4@v4.26.2/LICENSE	ad1e64b82c04fb2ee6bfe521bff01266971ffaa70500024d4ac767c6033aafb9	ad1e64b82c04fb2ee6bfe521bff01266971ffaa70500024d4ac767c6033aafb9	BSD-3-Clause	gopsutil is distributed under BSD license reproduced below.	true	true	true	OK
github.com/shopspring/decimal	v1.4.0	<GOMODCACHE>/github.com//shopspring//decimal@v1.4.0/LICENSE	b92ba0f6ee02f2309628bfdadb123668a17c016e475ba477b857d33470d9d625	b92ba0f6ee02f2309628bfdadb123668a17c016e475ba477b857d33470d9d625	MIT	The MIT License (MIT)	true	true	true	OK
github.com/sijms/go-ora/v2	v2.9.0	<GOMODCACHE>/github.com//sijms//go-ora//v2@v2.9.0/LICENSE	86b6a31a08af7288285c3f242fd257d8d985587182c6af3796cb421daa0b8339	86b6a31a08af7288285c3f242fd257d8d985587182c6af3796cb421daa0b8339	MIT	MIT License	true	true	true	OK
github.com/sirupsen/logrus	v1.9.3	<GOMODCACHE>/github.com//sirupsen//logrus@v1.9.3/LICENSE	51a0c9ec7f8b7634181b8d4c03e5b5d204ac21d6e72f46c313973424664b2e6b	51a0c9ec7f8b7634181b8d4c03e5b5d204ac21d6e72f46c313973424664b2e6b	MIT	The MIT License (MIT)	true	true	true	OK
github.com/stretchr/testify	v1.11.1	<GOMODCACHE>/github.com//stretchr//testify@v1.11.1/LICENSE	f8e536c1c7b695810427095dc85f5f80d44ff7c10535e8a9486cf393e2599189	f8e536c1c7b695810427095dc85f5f80d44ff7c10535e8a9486cf393e2599189	MIT	MIT License	true	true	true	OK
github.com/testcontainers/testcontainers-go	v0.41.0	<GOMODCACHE>/github.com//testcontainers//testcontainers-go@v0.41.0/LICENSE	a84eddc9908e1c4efacff577eb2885ea0233c75b890dff41c43e86ab67af889a	a84eddc9908e1c4efacff577eb2885ea0233c75b890dff41c43e86ab67af889a	MIT	The MIT License (MIT)	true	true	true	OK
github.com/testcontainers/testcontainers-go/modules/mariadb	v0.41.0	<GOMODCACHE>/github.com//testcontainers//testcontainers-go//modules//mariadb@v0.41.0/LICENSE	a84eddc9908e1c4efacff577eb2885ea0233c75b890dff41c43e86ab67af889a	a84eddc9908e1c4efacff577eb2885ea0233c75b890dff41c43e86ab67af889a	MIT	The MIT License (MIT)	true	true	true	OK
github.com/testcontainers/testcontainers-go/modules/mssql	v0.41.0	<GOMODCACHE>/github.com//testcontainers//testcontainers-go//modules//mssql@v0.41.0/LICENSE	a84eddc9908e1c4efacff577eb2885ea0233c75b890dff41c43e86ab67af889a	a84eddc9908e1c4efacff577eb2885ea0233c75b890dff41c43e86ab67af889a	MIT	The MIT License (MIT)	true	true	true	OK
github.com/testcontainers/testcontainers-go/modules/mysql	v0.41.0	<GOMODCACHE>/github.com//testcontainers//testcontainers-go//modules//mysql@v0.41.0/LICENSE	a84eddc9908e1c4efacff577eb2885ea0233c75b890dff41c43e86ab67af889a	a84eddc9908e1c4efacff577eb2885ea0233c75b890dff41c43e86ab67af889a	MIT	The MIT License (MIT)	true	true	true	OK
github.com/testcontainers/testcontainers-go/modules/postgres	v0.41.0	<GOMODCACHE>/github.com//testcontainers//testcontainers-go//modules//postgres@v0.41.0/LICENSE	a84eddc9908e1c4efacff577eb2885ea0233c75b890dff41c43e86ab67af889a	a84eddc9908e1c4efacff577eb2885ea0233c75b890dff41c43e86ab67af889a	MIT	The MIT License (MIT)	true	true	true	OK
github.com/tklauser/go-sysconf	v0.3.16	<GOMODCACHE>/github.com//tklauser//go-sysconf@v0.3.16/LICENSE	fdaaa923d83d44f8b2ed1185600c5aa8c10673f11fba9feb78bd2816786fd6be	fdaaa923d83d44f8b2ed1185600c5aa8c10673f11fba9feb78bd2816786fd6be	BSD-3-Clause	BSD 3-Clause License	true	true	true	OK
github.com/tklauser/numcpus	v0.11.0	<GOMODCACHE>/github.com//tklauser//numcpus@v0.11.0/LICENSE	cfc7749b96f63bd31c3c42b5c471bf756814053e847c10f3eb003417bc523d30	cfc7749b96f63bd31c3c42b5c471bf756814053e847c10f3eb003417bc523d30	Apache-2.0	Apache License	true	true	true	OK
github.com/yusufpapurcu/wmi	v1.2.4	<GOMODCACHE>/github.com//yusufpapurcu//wmi@v1.2.4/LICENSE	66e24ffb77bdafac86bd5c47ea1c3d44e2d7546ca9caa219ee66a110584864e7	66e24ffb77bdafac86bd5c47ea1c3d44e2d7546ca9caa219ee66a110584864e7	MIT	The MIT License (MIT)	true	true	true	OK
go.opentelemetry.io/auto/sdk	v1.2.1	<GOMODCACHE>/go.opentelemetry.io//auto//sdk@v1.2.1/LICENSE	c71d239df91726fc519c6eb72d318ec65820627232b2f796219e87dcf35d0ab4	c71d239df91726fc519c6eb72d318ec65820627232b2f796219e87dcf35d0ab4	Apache-2.0	Apache License	true	true	true	OK
go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp	v0.49.0	<GOMODCACHE>/go.opentelemetry.io//contrib//instrumentation//net//http//otelhttp@v0.49.0/LICENSE	c71d239df91726fc519c6eb72d318ec65820627232b2f796219e87dcf35d0ab4	c71d239df91726fc519c6eb72d318ec65820627232b2f796219e87dcf35d0ab4	Apache-2.0	Apache License	true	true	true	OK
go.opentelemetry.io/otel	v1.41.0	<GOMODCACHE>/go.opentelemetry.io//otel@v1.41.0/LICENSE	1ae07514be1d7bb33f0698f8d91fb51b8b9fe1463157ec1c72081a49b9bc6f40	1ae07514be1d7bb33f0698f8d91fb51b8b9fe1463157ec1c72081a49b9bc6f40	Apache-2.0 AND BSD-3-Clause	Full-file review: Apache-2.0 main license plus bundled Go Authors BSD-3-Clause notice	true	true	true	OK
go.opentelemetry.io/otel/metric	v1.41.0	<GOMODCACHE>/go.opentelemetry.io//otel//metric@v1.41.0/LICENSE	1ae07514be1d7bb33f0698f8d91fb51b8b9fe1463157ec1c72081a49b9bc6f40	1ae07514be1d7bb33f0698f8d91fb51b8b9fe1463157ec1c72081a49b9bc6f40	Apache-2.0 AND BSD-3-Clause	Full-file review: Apache-2.0 main license plus bundled Go Authors BSD-3-Clause notice	true	true	true	OK
go.opentelemetry.io/otel/trace	v1.41.0	<GOMODCACHE>/go.opentelemetry.io//otel//trace@v1.41.0/LICENSE	1ae07514be1d7bb33f0698f8d91fb51b8b9fe1463157ec1c72081a49b9bc6f40	1ae07514be1d7bb33f0698f8d91fb51b8b9fe1463157ec1c72081a49b9bc6f40	Apache-2.0 AND BSD-3-Clause	Full-file review: Apache-2.0 main license plus bundled Go Authors BSD-3-Clause notice	true	true	true	OK
golang.org/x/crypto	v0.48.0	<GOMODCACHE>/golang.org//x//crypto@v0.48.0/LICENSE	911f8f5782931320f5b8d1160a76365b83aea6447ee6c04fa6d5591467db9dad	911f8f5782931320f5b8d1160a76365b83aea6447ee6c04fa6d5591467db9dad	BSD-3-Clause	Copyright 2009 The Go Authors.	true	true	true	OK
golang.org/x/sync	v0.19.0	<GOMODCACHE>/golang.org//x//sync@v0.19.0/LICENSE	911f8f5782931320f5b8d1160a76365b83aea6447ee6c04fa6d5591467db9dad	911f8f5782931320f5b8d1160a76365b83aea6447ee6c04fa6d5591467db9dad	BSD-3-Clause	Copyright 2009 The Go Authors.	true	true	true	OK
golang.org/x/sys	v0.41.0	<GOMODCACHE>/golang.org//x//sys@v0.41.0/LICENSE	911f8f5782931320f5b8d1160a76365b83aea6447ee6c04fa6d5591467db9dad	911f8f5782931320f5b8d1160a76365b83aea6447ee6c04fa6d5591467db9dad	BSD-3-Clause	Copyright 2009 The Go Authors.	true	true	true	OK
golang.org/x/text	v0.34.0	<GOMODCACHE>/golang.org//x//text@v0.34.0/LICENSE	911f8f5782931320f5b8d1160a76365b83aea6447ee6c04fa6d5591467db9dad	911f8f5782931320f5b8d1160a76365b83aea6447ee6c04fa6d5591467db9dad	BSD-3-Clause	Copyright 2009 The Go Authors.	true	true	true	OK
google.golang.org/grpc	v1.79.1	<GOMODCACHE>/google.golang.org//grpc@v1.79.1/LICENSE	cfc7749b96f63bd31c3c42b5c471bf756814053e847c10f3eb003417bc523d30	cfc7749b96f63bd31c3c42b5c471bf756814053e847c10f3eb003417bc523d30	Apache-2.0	Apache License	true	true	true	OK
google.golang.org/protobuf	v1.36.11	<GOMODCACHE>/google.golang.org//protobuf@v1.36.11/LICENSE	4835612df0098ca95f8e7d9e3bffcb02358d435dbb38057c844c99d7f725eb20	4835612df0098ca95f8e7d9e3bffcb02358d435dbb38057c844c99d7f725eb20	BSD-3-Clause	Copyright (c) 2018 The Go Authors. All rights reserved.	true	true	true	OK
gopkg.in/yaml.v3	v3.0.1	<GOMODCACHE>/gopkg.in//yaml.v3@v3.0.1/LICENSE	d18f6323b71b0b768bb5e9616e36da390fbd39369a81807cca352de4e4e6aa0b	d18f6323b71b0b768bb5e9616e36da390fbd39369a81807cca352de4e4e6aa0b	Apache-2.0 AND MIT	Full-file review: MIT ported files; Apache-2.0 remaining files	true	true	true	OK
