module	version	evidence_path	sha256	license_type	detection_basis
github.com/containerd/platforms	v0.2.1	C:/Users/34026/go/pkg/mod/github.com/containerd/platforms@v0.2.1/LICENSE	4bbe3b885e8cd1907ab4cf9a41e862e74e24b5422297a4f2fe524e6a30ada2b4	Apache-2.0	
github.com/cpuguy83/dockercfg	v0.3.2	C:/Users/34026/go/pkg/mod/github.com/cpuguy83/dockercfg@v0.3.2/LICENSE	6b29b5887ad910cc1743f03989210e1efc5c02297998fbf80960cfc051a8c330	MIT	MIT License
github.com/davecgh/go-spew	v1.1.1	C:/Users/34026/go/pkg/mod/github.com/davecgh/go-spew@v1.1.1/LICENSE	1b93a317849ee09d3d7e4f1d20c2b78ddb230b4becb12d7c224c927b9d470251	ISC	ISC License
github.com/distribution/reference	v0.6.0	C:/Users/34026/go/pkg/mod/github.com/distribution/reference@v0.6.0/LICENSE	cb5e8e7e5f4a3988e1063c142c60dc2df75605f4c46515e776e3aca6df976e14	Apache-2.0	Apache License
github.com/docker/docker	v28.5.2+incompatible	C:/Users/34026/go/pkg/mod/github.com/docker/docker@v28.5.2+incompatible/LICENSE	7c87873291f289713ac5df48b1f2010eb6963752bbd6b530416ab99fc37914a8	Apache-2.0	
github.com/docker/go-connections	v0.6.0	C:/Users/34026/go/pkg/mod/github.com/docker/go-connections@v0.6.0/LICENSE	ba3065d2f4b11bb42a0f7b708b021d1c28fa45d097b3eab3e7db9ab4745040d1	Apache-2.0	
github.com/docker/go-units	v0.5.0	C:/Users/34026/go/pkg/mod/github.com/docker/go-units@v0.5.0/LICENSE	ba3065d2f4b11bb42a0f7b708b021d1c28fa45d097b3eab3e7db9ab4745040d1	Apache-2.0	
github.com/ebitengine/purego	v0.10.0	C:/Users/34026/go/pkg/mod/github.com/ebitengine/purego@v0.10.0/LICENSE	b40930bbcf80744c86c46a12bc9da056641d722716c378f5659b9e555ef833e1	Apache-2.0	Apache License
github.com/felixge/httpsnoop	v1.0.4	C:/Users/34026/go/pkg/mod/github.com/felixge/httpsnoop@v1.0.4/LICENSE.txt	8108e14b5cb2b6bcd51583d3849ef0c2b5c4de61758256c20308bc70d1775dbb	MIT	Copyright (c) 2016 Felix Geisendörfer (felix@debuggable.com)
github.com/go-logr/logr	v1.4.3	C:/Users/34026/go/pkg/mod/github.com/go-logr/logr@v1.4.3/LICENSE	b40930bbcf80744c86c46a12bc9da056641d722716c378f5659b9e555ef833e1	Apache-2.0	Apache License
github.com/go-logr/stdr	v1.2.2	C:/Users/34026/go/pkg/mod/github.com/go-logr/stdr@v1.2.2/LICENSE	c71d239df91726fc519c6eb72d318ec65820627232b2f796219e87dcf35d0ab4	Apache-2.0	Apache License
github.com/go-ole/go-ole	v1.2.6	C:/Users/34026/go/pkg/mod/github.com/go-ole/go-ole@v1.2.6/LICENSE	d883dbca28769ff23dd4368a8edb7ad9f9f23a8f86adde2875c6e41a828aac62	MIT	The MIT License (MIT)
github.com/go-sql-driver/mysql	v1.9.3	C:/Users/34026/go/pkg/mod/github.com/go-sql-driver/mysql@v1.9.3/LICENSE	fab3dd6bdab226f1c08630b1dd917e11fcb4ec5e1e020e2c16f83a0a13863e85	MPL-2.0	Mozilla Public License Version 2.0
github.com/golang-sql/civil	v0.0.0-20220223132316-b832511892a9	C:/Users/34026/go/pkg/mod/github.com/golang-sql/civil@v0.0.0-20220223132316-b832511892a9/LICENSE	58d1e17ffe5109a7ae296caafcadfdbe6a7d176f0bc4ab01e12a689b0499d8bd	Apache-2.0	
github.com/golang-sql/sqlexp	v0.1.0	C:/Users/34026/go/pkg/mod/github.com/golang-sql/sqlexp@v0.1.0/LICENSE	17b5d209ba8f9684257ecfcff87df6ceda6194143a8fbd074f29727cff6f0c40	BSD-3-Clause	Copyright (c) 2017 The Go Authors. All rights reserved.
github.com/google/go-cmp	v0.7.0	C:/Users/34026/go/pkg/mod/github.com/google/go-cmp@v0.7.0/LICENSE	17b5d209ba8f9684257ecfcff87df6ceda6194143a8fbd074f29727cff6f0c40	BSD-3-Clause	Copyright (c) 2017 The Go Authors. All rights reserved.
github.com/google/uuid	v1.6.0	C:/Users/34026/go/pkg/mod/github.com/google/uuid@v1.6.0/LICENSE	0a8d61ed3cbfd5312326e8126c31ce9c627a283adc99131b56896d29ada04b2d	BSD-3-Clause	Copyright (c) 2009,2014 Google Inc. All rights reserved.
github.com/grpc-ecosystem/grpc-gateway/v2	v2.28.0	C:/Users/34026/go/pkg/mod/github.com/grpc-ecosystem/grpc-gateway/v2@v2.28.0/LICENSE	a15b1d1b168954c92ff7fb1620382418f7c72f4f4d251ee791d1098ad68ab0c4	BSD-3-Clause	Copyright (c) 2015, Gengo, Inc.
github.com/hjson/hjson-go/v4	v4.6.0	C:/Users/34026/go/pkg/mod/github.com/hjson/hjson-go/v4@v4.6.0/LICENSE	a3b3d309b774913dafd47225c1c6bbed1b23aa1780ca1cc89ea1bad0d82cf7b1	MIT	MIT License
github.com/jackc/pgpassfile	v1.0.0	C:/Users/34026/go/pkg/mod/github.com/jackc/pgpassfile@v1.0.0/LICENSE	adb1663fda031df8f4344aa68f299fd87d80353e31339406742ded21dae65702	MIT	Copyright (c) 2019 Jack Christensen
github.com/jackc/pgservicefile	v0.0.0-20240606120523-5a60cdf6a761	C:/Users/34026/go/pkg/mod/github.com/jackc/pgservicefile@v0.0.0-20240606120523-5a60cdf6a761/LICENSE	fc505773403fe869ed64cc2235cdd13988a427bb7e3a7e7004a3f4b27420f8fc	MIT	Copyright (c) 2020 Jack Christensen
github.com/jackc/pgx/v5	v5.9.1	C:/Users/34026/go/pkg/mod/github.com/jackc/pgx/v5@v5.9.1/LICENSE	467f95e074fe23079a5623ed652619682692041b8551da27e3c2ddb9659a1507	MIT	Copyright (c) 2013-2021 Jack Christensen
github.com/jackc/puddle/v2	v2.2.2	C:/Users/34026/go/pkg/mod/github.com/jackc/puddle/v2@v2.2.2/LICENSE	2d50e98a4900b4d6457a38d39c1432fdc156fc2f7b365f2e33ec9344acbb0057	MIT	Copyright (c) 2018 Jack Christensen
github.com/klauspost/compress	v1.18.2	C:/Users/34026/go/pkg/mod/github.com/klauspost/compress@v1.18.2/LICENSE	0d9e582ee4bff57bf1189c9e514e6da7ce277f9cd3bc2d488b22fbb39a6d87cf	BSD-3-Clause	Copyright (c) 2012 The Go Authors. All rights reserved.
github.com/lufia/plan9stats	v0.0.0-20211012122336-39d0f177ccd0	C:/Users/34026/go/pkg/mod/github.com/lufia/plan9stats@v0.0.0-20211012122336-39d0f177ccd0/LICENSE	879acfe02d3790e0bcdd1ee2299fd8576995eaa94c7e14d1a94ee3e018ad7bc2	BSD-3-Clause	BSD 3-Clause License
github.com/magiconair/properties	v1.8.10	C:/Users/34026/go/pkg/mod/github.com/magiconair/properties@v1.8.10/LICENSE.md	0b3944fe6ccfdffd9b4de92a401c127d3d71d3bb91d6f793a05ba1a9ed751805	BSD-2-Clause	Copyright (c) 2013-2020, Frank Schroeder
github.com/microsoft/go-mssqldb	v1.9.8	C:/Users/34026/go/pkg/mod/github.com/microsoft/go-mssqldb@v1.9.8/LICENSE.txt	7d0793489653bfe020de7ea32047bad266f5e2e204ba12025d5300f39555addc	BSD-3-Clause	Copyright (c) 2012 The Go Authors. All rights reserved.
github.com/moby/docker-image-spec	v1.3.1	C:/Users/34026/go/pkg/mod/github.com/moby/docker-image-spec@v1.3.1/LICENSE	c71d239df91726fc519c6eb72d318ec65820627232b2f796219e87dcf35d0ab4	Apache-2.0	Apache License
github.com/moby/go-archive	v0.2.0	C:/Users/34026/go/pkg/mod/github.com/moby/go-archive@v0.2.0/LICENSE	cfc7749b96f63bd31c3c42b5c471bf756814053e847c10f3eb003417bc523d30	Apache-2.0	
github.com/moby/patternmatcher	v0.6.0	C:/Users/34026/go/pkg/mod/github.com/moby/patternmatcher@v0.6.0/LICENSE	7c87873291f289713ac5df48b1f2010eb6963752bbd6b530416ab99fc37914a8	Apache-2.0	
github.com/moby/sys/sequential	v0.6.0	C:/Users/34026/go/pkg/mod/github.com/moby/sys/sequential@v0.6.0/LICENSE	cfc7749b96f63bd31c3c42b5c471bf756814053e847c10f3eb003417bc523d30	Apache-2.0	
github.com/moby/sys/user	v0.4.0	C:/Users/34026/go/pkg/mod/github.com/moby/sys/user@v0.4.0/LICENSE	cfc7749b96f63bd31c3c42b5c471bf756814053e847c10f3eb003417bc523d30	Apache-2.0	
github.com/moby/sys/userns	v0.1.0	C:/Users/34026/go/pkg/mod/github.com/moby/sys/userns@v0.1.0/LICENSE	cfc7749b96f63bd31c3c42b5c471bf756814053e847c10f3eb003417bc523d30	Apache-2.0	
github.com/moby/term	v0.5.2	C:/Users/34026/go/pkg/mod/github.com/moby/term@v0.5.2/LICENSE	7c87873291f289713ac5df48b1f2010eb6963752bbd6b530416ab99fc37914a8	Apache-2.0	
github.com/morikuni/aec	v1.0.0	C:/Users/34026/go/pkg/mod/github.com/morikuni/aec@v1.0.0/LICENSE	54c5e52725ae21a2a815b875b6000ce5a5c1c5e829b11fb05425235932bf8968	MIT	The MIT License (MIT)
github.com/opencontainers/go-digest	v1.0.0	C:/Users/34026/go/pkg/mod/github.com/opencontainers/go-digest@v1.0.0/LICENSE	aceb55133c41c50c2e170c5918e301fe74f592d0f28724bf2f7a7bfdcff1fc5f	Apache-2.0	
github.com/opencontainers/image-spec	v1.1.1	C:/Users/34026/go/pkg/mod/github.com/opencontainers/image-spec@v1.1.1/LICENSE	b0a3f39513927db306adabea11d14c23f079d4febcea241d123a68d1a0d45418	Apache-2.0	
github.com/pkg/errors	v0.9.1	C:/Users/34026/go/pkg/mod/github.com/pkg/errors@v0.9.1/LICENSE	8d427fd87bc9579ea368fde3d49f9ca22eac857f91a9dec7e3004bdfab7dee86	BSD-2-Clause	Copyright (c) 2015, Dave Cheney <dave@cheney.net>
github.com/pmezard/go-difflib	v1.0.0	C:/Users/34026/go/pkg/mod/github.com/pmezard/go-difflib@v1.0.0/LICENSE	2eb550be6801c1ea434feba53bf6d12e7c71c90253e0a9de4a4f46cf88b56477	BSD-3-Clause	Copyright (c) 2013, Patrick Mezard
github.com/power-devops/perfstat	v0.0.0-20240221224432-82ca36839d55	C:/Users/34026/go/pkg/mod/github.com/power-devops/perfstat@v0.0.0-20240221224432-82ca36839d55/LICENSE	d2568033889c7eb3666ef1cb1f47f84bd49d25847aaad5dd87f18df384238079	MIT	MIT License
github.com/shirou/gopsutil/v4	v4.26.2	C:/Users/34026/go/pkg/mod/github.com/shirou/gopsutil/v4@v4.26.2/LICENSE	ad1e64b82c04fb2ee6bfe521bff01266971ffaa70500024d4ac767c6033aafb9	BSD-3-Clause	gopsutil is distributed under BSD license reproduced below.
github.com/shopspring/decimal	v1.4.0	C:/Users/34026/go/pkg/mod/github.com/shopspring/decimal@v1.4.0/LICENSE	b92ba0f6ee02f2309628bfdadb123668a17c016e475ba477b857d33470d9d625	MIT	The MIT License (MIT)
github.com/sijms/go-ora/v2	v2.9.0	C:/Users/34026/go/pkg/mod/github.com/sijms/go-ora/v2@v2.9.0/LICENSE	86b6a31a08af7288285c3f242fd257d8d985587182c6af3796cb421daa0b8339	MIT	MIT License
github.com/sirupsen/logrus	v1.9.3	C:/Users/34026/go/pkg/mod/github.com/sirupsen/logrus@v1.9.3/LICENSE	51a0c9ec7f8b7634181b8d4c03e5b5d204ac21d6e72f46c313973424664b2e6b	MIT	The MIT License (MIT)
github.com/stretchr/testify	v1.11.1	C:/Users/34026/go/pkg/mod/github.com/stretchr/testify@v1.11.1/LICENSE	f8e536c1c7b695810427095dc85f5f80d44ff7c10535e8a9486cf393e2599189	MIT	MIT License
github.com/testcontainers/testcontainers-go	v0.41.0	C:/Users/34026/go/pkg/mod/github.com/testcontainers/testcontainers-go@v0.41.0/LICENSE	a84eddc9908e1c4efacff577eb2885ea0233c75b890dff41c43e86ab67af889a	MIT	The MIT License (MIT)
github.com/testcontainers/testcontainers-go/modules/mariadb	v0.41.0	C:/Users/34026/go/pkg/mod/github.com/testcontainers/testcontainers-go/modules/mariadb@v0.41.0/LICENSE	a84eddc9908e1c4efacff577eb2885ea0233c75b890dff41c43e86ab67af889a	MIT	The MIT License (MIT)
github.com/testcontainers/testcontainers-go/modules/mssql	v0.41.0	C:/Users/34026/go/pkg/mod/github.com/testcontainers/testcontainers-go/modules/mssql@v0.41.0/LICENSE	a84eddc9908e1c4efacff577eb2885ea0233c75b890dff41c43e86ab67af889a	MIT	The MIT License (MIT)
github.com/testcontainers/testcontainers-go/modules/mysql	v0.41.0	C:/Users/34026/go/pkg/mod/github.com/testcontainers/testcontainers-go/modules/mysql@v0.41.0/LICENSE	a84eddc9908e1c4efacff577eb2885ea0233c75b890dff41c43e86ab67af889a	MIT	The MIT License (MIT)
github.com/testcontainers/testcontainers-go/modules/postgres	v0.41.0	C:/Users/34026/go/pkg/mod/github.com/testcontainers/testcontainers-go/modules/postgres@v0.41.0/LICENSE	a84eddc9908e1c4efacff577eb2885ea0233c75b890dff41c43e86ab67af889a	MIT	The MIT License (MIT)
github.com/tklauser/go-sysconf	v0.3.16	C:/Users/34026/go/pkg/mod/github.com/tklauser/go-sysconf@v0.3.16/LICENSE	fdaaa923d83d44f8b2ed1185600c5aa8c10673f11fba9feb78bd2816786fd6be	BSD-3-Clause	BSD 3-Clause License
github.com/tklauser/numcpus	v0.11.0	C:/Users/34026/go/pkg/mod/github.com/tklauser/numcpus@v0.11.0/LICENSE	cfc7749b96f63bd31c3c42b5c471bf756814053e847c10f3eb003417bc523d30	Apache-2.0	
github.com/yusufpapurcu/wmi	v1.2.4	C:/Users/34026/go/pkg/mod/github.com/yusufpapurcu/wmi@v1.2.4/LICENSE	66e24ffb77bdafac86bd5c47ea1c3d44e2d7546ca9caa219ee66a110584864e7	MIT	The MIT License (MIT)
go.opentelemetry.io/auto/sdk	v1.2.1	C:/Users/34026/go/pkg/mod/go.opentelemetry.io/auto/sdk@v1.2.1/LICENSE	c71d239df91726fc519c6eb72d318ec65820627232b2f796219e87dcf35d0ab4	Apache-2.0	Apache License
go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp	v0.49.0	C:/Users/34026/go/pkg/mod/go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp@v0.49.0/LICENSE	c71d239df91726fc519c6eb72d318ec65820627232b2f796219e87dcf35d0ab4	Apache-2.0	Apache License
go.opentelemetry.io/otel	v1.41.0	C:/Users/34026/go/pkg/mod/go.opentelemetry.io/otel@v1.41.0/LICENSE	1ae07514be1d7bb33f0698f8d91fb51b8b9fe1463157ec1c72081a49b9bc6f40	Apache-2.0	Apache License
go.opentelemetry.io/otel/metric	v1.41.0	C:/Users/34026/go/pkg/mod/go.opentelemetry.io/otel/metric@v1.41.0/LICENSE	1ae07514be1d7bb33f0698f8d91fb51b8b9fe1463157ec1c72081a49b9bc6f40	Apache-2.0	Apache License
go.opentelemetry.io/otel/trace	v1.41.0	C:/Users/34026/go/pkg/mod/go.opentelemetry.io/otel/trace@v1.41.0/LICENSE	1ae07514be1d7bb33f0698f8d91fb51b8b9fe1463157ec1c72081a49b9bc6f40	Apache-2.0	Apache License
golang.org/x/crypto	v0.48.0	C:/Users/34026/go/pkg/mod/golang.org/x/crypto@v0.48.0/LICENSE	911f8f5782931320f5b8d1160a76365b83aea6447ee6c04fa6d5591467db9dad	BSD-3-Clause	Copyright 2009 The Go Authors.
golang.org/x/sync	v0.19.0	C:/Users/34026/go/pkg/mod/golang.org/x/sync@v0.19.0/LICENSE	911f8f5782931320f5b8d1160a76365b83aea6447ee6c04fa6d5591467db9dad	BSD-3-Clause	Copyright 2009 The Go Authors.
golang.org/x/sys	v0.41.0	C:/Users/34026/go/pkg/mod/golang.org/x/sys@v0.41.0/LICENSE	911f8f5782931320f5b8d1160a76365b83aea6447ee6c04fa6d5591467db9dad	BSD-3-Clause	Copyright 2009 The Go Authors.
golang.org/x/text	v0.34.0	C:/Users/34026/go/pkg/mod/golang.org/x/text@v0.34.0/LICENSE	911f8f5782931320f5b8d1160a76365b83aea6447ee6c04fa6d5591467db9dad	BSD-3-Clause	Copyright 2009 The Go Authors.
google.golang.org/grpc	v1.79.1	C:/Users/34026/go/pkg/mod/google.golang.org/grpc@v1.79.1/LICENSE	cfc7749b96f63bd31c3c42b5c471bf756814053e847c10f3eb003417bc523d30	Apache-2.0	
google.golang.org/protobuf	v1.36.11	C:/Users/34026/go/pkg/mod/google.golang.org/protobuf@v1.36.11/LICENSE	4835612df0098ca95f8e7d9e3bffcb02358d435dbb38057c844c99d7f725eb20	BSD-3-Clause	Copyright (c) 2018 The Go Authors. All rights reserved.
gopkg.in/yaml.v3	v3.0.1	C:/Users/34026/go/pkg/mod/gopkg.in/yaml.v3@v3.0.1/LICENSE	d18f6323b71b0b768bb5e9616e36da390fbd39369a81807cca352de4e4e6aa0b	MIT	
